start_lat,start_lon,end_lat,end_lon,airport1,airport2
57.09305556,9.85,55.61805556,12.65583333,AAL,CPH
56.30388889,10.62,55.61805556,12.65583333,AAR,CPH
57.20194444,-2.197777778,54.61805556,-5.8725,ABZ,BHD
57.20194444,-2.197777778,50.03194444,8.577777778,ABZ,FRA
57.20194444,-2.197777778,55.03777778,-1.686666667,ABZ,NCL
28.94555556,-13.60527778,41.30277778,2.094444444,ACE,BCN
28.94555556,-13.60527778,60.29361111,5.219444444,ACE,BGO
28.94555556,-13.60527778,43.30277778,-2.921666667,ACE,BIO
28.94555556,-13.60527778,53.04666667,8.79,ACE,BRE
28.94555556,-13.60527778,55.61805556,12.65583333,ACE,CPH
28.94555556,-13.60527778,53.4325,-6.252222222,ACE,DUB
28.94555556,-13.60527778,51.28111111,6.752777778,ACE,DUS
28.94555556,-13.60527778,50.03194444,8.577777778,ACE,FRA
28.94555556,-13.60527778,52.46166667,9.684722222,ACE,HAJ
28.94555556,-13.60527778,53.63388889,9.995,ACE,HAM
28.94555556,-13.60527778,51.42388889,12.23638889,ACE,LEJ
28.94555556,-13.60527778,27.93194444,-15.38666667,ACE,LPA
28.94555556,-13.60527778,40.47361111,-3.561111111,ACE,MAD
28.94555556,-13.60527778,48.1325,11.69916667,ACE,MUC
28.94555556,-13.60527778,49.49972222,11.08166667,ACE,NUE
28.94555556,-13.60527778,48.68833333,9.21,ACE,STR
62.56111111,6.114166667,60.29361111,5.219444444,AES,BGO
62.56111111,6.114166667,60.20277778,11.08555556,AES,OSL
62.56111111,6.114166667,58.87972222,5.634722222,AES,SVG
62.56111111,6.114166667,63.45972222,10.93694444,AES,TRD
56.29305556,12.8625,59.66194444,17.93388889,AGH,ARN
36.67166667,-4.498055556,27.93194444,-15.38666667,AGP,LPA
36.67166667,-4.498055556,39.55361111,2.727777778,AGP,PMI
36.67166667,-4.498055556,42.895,-8.415,AGP,SCQ
36.67166667,-4.498055556,48.68833333,9.21,AGP,STR
36.67166667,-4.498055556,52.38,13.5225,AGP,SXF
36.67166667,-4.498055556,28.04277778,-16.57055556,AGP,TFS
36.67166667,-4.498055556,39.48861111,-0.481944444,AGP,VLC
36.67166667,-4.498055556,47.45833333,8.551666667,AGP,ZRH
69.97611111,23.38055556,69.72277778,29.89333333,ALF,KKN
69.97611111,23.38055556,60.20277778,11.08555556,ALF,OSL
69.97611111,23.38055556,69.68138889,18.92166667,ALF,TOS
52.30833333,4.768055556,52.30833333,4.768055556,AMS,AMS
52.30833333,4.768055556,52.83111111,-1.328055556,AMS,EMA
52.30833333,4.768055556,50.03194444,8.577777778,AMS,FRA
52.30833333,4.768055556,53.63388889,9.995,AMS,HAM
52.30833333,4.768055556,48.1325,11.69916667,AMS,MUC
52.30833333,4.768055556,55.03777778,-1.686666667,AMS,NCL
52.30833333,4.768055556,51.95833333,4.444444444,AMS,RTM
52.30833333,4.768055556,28.6225,-17.75361111,AMS,SPC
52.30833333,4.768055556,51.88277778,0.233888889,AMS,STN
52.30833333,4.768055556,48.68833333,9.21,AMS,STR
52.30833333,4.768055556,52.38,13.5225,AMS,SXF
52.30833333,4.768055556,48.11083333,16.55805556,AMS,VIE
52.30833333,4.768055556,47.45833333,8.551666667,AMS,ZRH
43.6175,13.36416667,48.1325,11.69916667,AOI,MUC
59.66194444,17.93388889,56.29305556,12.8625,ARN,AGH
59.66194444,17.93388889,51.28111111,6.752777778,ARN,DUS
59.66194444,17.93388889,50.03194444,8.577777778,ARN,FRA
59.66194444,17.93388889,53.63388889,9.995,ARN,HAM
59.66194444,17.93388889,60.32555556,24.97166667,ARN,HEL
59.66194444,17.93388889,56.685,16.28722222,ARN,KLR
59.66194444,17.93388889,67.82222222,20.34583333,ARN,KRN
59.66194444,17.93388889,59.36166667,13.46944444,ARN,KSD
59.66194444,17.93388889,65.54472222,22.12777778,ARN,LLA
59.66194444,17.93388889,58.40611111,15.68055556,ARN,LPI
59.66194444,17.93388889,55.54833333,13.35944444,ARN,MMX
59.66194444,17.93388889,48.1325,11.69916667,ARN,MUC
59.66194444,17.93388889,63.19861111,14.49444444,ARN,OSD
59.66194444,17.93388889,60.20277778,11.08555556,ARN,OSL
59.66194444,17.93388889,56.25833333,15.26111111,ARN,RNB
59.66194444,17.93388889,62.52638889,17.44666667,ARN,SDL
59.66194444,17.93388889,64.625,21.07833333,ARN,SFT
59.66194444,17.93388889,28.6225,-17.75361111,ARN,SPC
59.66194444,17.93388889,52.38,13.5225,ARN,SXF
59.66194444,17.93388889,60.51472222,22.26555556,ARN,TKU
59.66194444,17.93388889,61.46388889,23.73888889,ARN,TMP
59.66194444,17.93388889,52.56027778,13.29555556,ARN,TXL
59.66194444,17.93388889,44.92,4.970277778,ARN,VAA
59.66194444,17.93388889,48.11083333,16.55805556,ARN,VIE
59.66194444,17.93388889,47.45833333,8.551666667,ARN,ZRH
37.89583333,23.72888889,40.85583333,25.95638889,ATH,AXD
37.89583333,23.72888889,39.60138889,19.91027778,ATH,CFU
37.89583333,23.72888889,35.5325,24.14833333,ATH,CHQ
37.89583333,23.72888889,38.11861111,20.49972222,ATH,EFL
37.89583333,23.72888889,50.03194444,8.577777778,ATH,FRA
37.89583333,23.72888889,46.23944444,6.110277778,ATH,GVA
37.89583333,23.72888889,35.34027778,25.18027778,ATH,HER
37.89583333,23.72888889,39.69638889,20.8225,ATH,IOA
37.89583333,23.72888889,38.345,26.14166667,ATH,JKH
37.89583333,23.72888889,37.43611111,25.34444444,ATH,JMK
37.89583333,23.72888889,39.18055556,23.50555556,ATH,JSI
37.89583333,23.72888889,36.40638889,25.47722222,ATH,JTR
37.89583333,23.72888889,36.79305556,27.09527778,ATH,KGS
37.89583333,23.72888889,40.97277778,24.34194444,ATH,KVA
37.89583333,23.72888889,39.05611111,26.59944444,ATH,MJT
37.89583333,23.72888889,48.1325,11.69916667,ATH,MUC
37.89583333,23.72888889,36.38472222,28.11833333,ATH,RHO
37.89583333,23.72888889,40.52083333,22.97222222,ATH,SKG
37.89583333,23.72888889,37.68888889,26.91388889,ATH,SMI
37.89583333,23.72888889,52.38,13.5225,ATH,SXF
37.89583333,23.72888889,48.11083333,16.55805556,ATH,VIE
37.89583333,23.72888889,47.45833333,8.551666667,ATH,ZRH
37.89583333,23.72888889,37.75111111,20.88277778,ATH,ZTH
40.85583333,25.95638889,37.89583333,23.72888889,AXD,ATH
41.30277778,2.094444444,41.30277778,2.094444444,BCN,BCN
41.30277778,2.094444444,50.86583333,7.141944444,BCN,CGN
41.30277778,2.094444444,51.28111111,6.752777778,BCN,DUS
41.30277778,2.094444444,50.03194444,8.577777778,BCN,FRA
41.30277778,2.094444444,46.23944444,6.110277778,BCN,GVA
41.30277778,2.094444444,52.46166667,9.684722222,BCN,HAJ
41.30277778,2.094444444,53.63388889,9.995,BCN,HAM
41.30277778,2.094444444,38.87361111,1.372777778,BCN,IBZ
41.30277778,2.094444444,39.86138889,4.215277778,BCN,MAH
41.30277778,2.094444444,48.1325,11.69916667,BCN,MUC
41.30277778,2.094444444,39.55361111,2.727777778,BCN,PMI
41.30277778,2.094444444,48.68833333,9.21,BCN,STR
41.30277778,2.094444444,52.38,13.5225,BCN,SXF
41.30277778,2.094444444,52.56027778,13.29555556,BCN,TXL
41.30277778,2.094444444,39.48861111,-0.481944444,BCN,VLC
41.30277778,2.094444444,47.45833333,8.551666667,BCN,ZRH
60.29361111,5.219444444,28.94555556,-13.60527778,BGO,ACE
60.29361111,5.219444444,62.56111111,6.114166667,BGO,AES
60.29361111,5.219444444,67.26916667,14.37222222,BGO,BOO
60.29361111,5.219444444,62.18166667,6.078888889,BGO,HOV
60.29361111,5.219444444,58.20305556,8.084166667,BGO,KRS
60.29361111,5.219444444,63.11472222,7.844444444,BGO,KSU
60.29361111,5.219444444,27.93194444,-15.38666667,BGO,LPA
60.29361111,5.219444444,62.74861111,7.271111111,BGO,MOL
60.29361111,5.219444444,58.87972222,5.634722222,BGO,SVG
60.29361111,5.219444444,69.68138889,18.92166667,BGO,TOS
60.29361111,5.219444444,63.45972222,10.93694444,BGO,TRD
45.66833333,9.700277778,48.1325,11.69916667,BGY,MUC
54.61805556,-5.8725,51.39666667,-3.343333333,BHD,CWL
54.61805556,-5.8725,55.95,-3.3725,BHD,EDI
54.61805556,-5.8725,52.83111111,-1.328055556,BHD,EMA
54.61805556,-5.8725,56.06666667,-6.216666667,BHD,GLA
54.61805556,-5.8725,53.35333333,-2.276666667,BHD,MAN
52.45388889,-1.746388889,51.28111111,6.752777778,BHX,DUS
52.45388889,-1.746388889,50.03194444,8.577777778,BHX,FRA
52.45388889,-1.746388889,53.63388889,9.995,BHX,HAM
52.45388889,-1.746388889,49.20805556,-2.195555556,BHX,JER
52.45388889,-1.746388889,48.1325,11.69916667,BHX,MUC
52.45388889,-1.746388889,53.91,-8.817777778,BHX,NOC
52.45388889,-1.746388889,52.70055556,-8.918611111,BHX,SNN
52.45388889,-1.746388889,47.45833333,8.551666667,BHX,ZRH
43.30277778,-2.921666667,28.94555556,-13.60527778,BIO,ACE
43.30277778,-2.921666667,51.28111111,6.752777778,BIO,DUS
43.30277778,-2.921666667,50.03194444,8.577777778,BIO,FRA
43.30277778,-2.921666667,40.47361111,-3.561111111,BIO,MAD
43.30277778,-2.921666667,48.1325,11.69916667,BIO,MUC
43.30277778,-2.921666667,42.895,-8.415,BIO,SCQ
43.30277778,-2.921666667,51.88277778,0.233888889,BIO,STN
43.30277778,-2.921666667,39.48861111,-0.481944444,BIO,VLC
55.74027778,9.152777778,50.90166667,4.494166667,BLL,BRU
55.74027778,9.152777778,55.52638889,8.5525,BLL,EBJ
55.74027778,9.152777778,50.03194444,8.577777778,BLL,FRA
44.53055556,11.2925,50.86583333,7.141944444,BLQ,CGN
44.53055556,11.2925,50.03194444,8.577777778,BLQ,FRA
44.53055556,11.2925,48.1325,11.69916667,BLQ,MUC
44.53055556,11.2925,48.11083333,16.55805556,BLQ,VIE
44.82944444,-0.714444444,43.58055556,3.970277778,BOD,MPL
44.82944444,-0.714444444,52.38,13.5225,BOD,SXF
67.26916667,14.37222222,60.29361111,5.219444444,BOO,BGO
67.26916667,14.37222222,68.49111111,16.67972222,BOO,EVE
67.26916667,14.37222222,27.93194444,-15.38666667,BOO,LPA
67.26916667,14.37222222,60.20277778,11.08555556,BOO,OSL
67.26916667,14.37222222,69.68138889,18.92166667,BOO,TOS
67.26916667,14.37222222,63.45972222,10.93694444,BOO,TRD
53.04666667,8.79,50.90166667,4.494166667,BRE,BRU
53.04666667,8.79,50.03194444,8.577777778,BRE,FRA
53.04666667,8.79,48.1325,11.69916667,BRE,MUC
53.04666667,8.79,48.68833333,9.21,BRE,STR
41.14111111,16.78833333,48.1325,11.69916667,BRI,MUC
46.91527778,7.499166667,52.30833333,4.768055556,BRN,AMS
46.91527778,7.499166667,50.86583333,7.141944444,BRN,CGN
46.91527778,7.499166667,46.23944444,6.110277778,BRN,GVA
46.91527778,7.499166667,53.63388889,9.995,BRN,HAM
46.91527778,7.499166667,48.1325,11.69916667,BRN,MUC
46.91527778,7.499166667,52.56027778,13.29555556,BRN,TXL
46.91527778,7.499166667,47.45833333,8.551666667,BRN,ZRH
51.38277778,-2.719166667,50.03194444,8.577777778,BRS,FRA
51.38277778,-2.719166667,49.20805556,-2.195555556,BRS,JER
51.38277778,-2.719166667,48.1325,11.69916667,BRS,MUC
51.38277778,-2.719166667,52.38,13.5225,BRS,SXF
50.90166667,4.494166667,36.67166667,-4.498055556,BRU,AGP
50.90166667,4.494166667,41.30277778,2.094444444,BRU,BCN
50.90166667,4.494166667,43.30277778,-2.921666667,BRU,BIO
50.90166667,4.494166667,55.74027778,9.152777778,BRU,BLL
50.90166667,4.494166667,44.53055556,11.2925,BRU,BLQ
50.90166667,4.494166667,53.04666667,8.79,BRU,BRE
50.90166667,4.494166667,47.59,7.53,BRU,BSL
50.90166667,4.494166667,47.43694444,19.25555556,BRU,BUD
50.90166667,4.494166667,49.00972222,2.547777778,BRU,CDG
50.90166667,4.494166667,55.61805556,12.65583333,BRU,CPH
50.90166667,4.494166667,52.83111111,-1.328055556,BRU,EMA
50.90166667,4.494166667,41.80027778,12.23888889,BRU,FCO
50.90166667,4.494166667,50.03194444,8.577777778,BRU,FRA
50.90166667,4.494166667,57.66305556,12.28277778,BRU,GOT
50.90166667,4.494166667,46.23944444,6.110277778,BRU,GVA
50.90166667,4.494166667,52.46166667,9.684722222,BRU,HAJ
50.90166667,4.494166667,53.63388889,9.995,BRU,HAM
50.90166667,4.494166667,50.07777778,19.78472222,BRU,KRK
50.90166667,4.494166667,50.63722222,5.443888889,BRU,LGG
50.90166667,4.494166667,51.4775,-0.461388889,BRU,LHR
50.90166667,4.494166667,45.44166667,9.277777778,BRU,LIN
50.90166667,4.494166667,38.78138889,-9.135833333,BRU,LIS
50.90166667,4.494166667,45.72555556,5.081666667,BRU,LYS
50.90166667,4.494166667,40.47361111,-3.561111111,BRU,MAD
50.90166667,4.494166667,43.43555556,5.216388889,BRU,MRS
50.90166667,4.494166667,48.1325,11.69916667,BRU,MUC
50.90166667,4.494166667,45.63277778,8.732222222,BRU,MXP
50.90166667,4.494166667,43.66388889,7.2175,BRU,NCE
50.90166667,4.494166667,49.49972222,11.08166667,BRU,NUE
50.90166667,4.494166667,41.23805556,-8.674722222,BRU,OPO
50.90166667,4.494166667,60.20277778,11.08555556,BRU,OSL
50.90166667,4.494166667,50.10083333,14.26,BRU,PRG
50.90166667,4.494166667,48.68833333,9.21,BRU,STR
50.90166667,4.494166667,48.53694444,7.6275,BRU,SXB
50.90166667,4.494166667,52.38,13.5225,BRU,SXF
50.90166667,4.494166667,47.79333333,13.00444444,BRU,SZG
50.90166667,4.494166667,28.04277778,-16.57055556,BRU,TFS
50.90166667,4.494166667,43.63,1.363611111,BRU,TLS
50.90166667,4.494166667,45.20111111,7.648055556,BRU,TRN
50.90166667,4.494166667,52.56027778,13.29555556,BRU,TXL
50.90166667,4.494166667,45.50666667,12.35,BRU,VCE
50.90166667,4.494166667,48.11083333,16.55805556,BRU,VIE
50.90166667,4.494166667,54.63333333,25.28333333,BRU,VNO
50.90166667,4.494166667,52.16666667,20.96666667,BRU,WAW
50.90166667,4.494166667,45.74305556,16.06888889,BRU,ZAG
50.90166667,4.494166667,47.45833333,8.551666667,BRU,ZRH
47.59,7.53,50.90166667,4.494166667,BSL,BRU
47.59,7.53,51.28111111,6.752777778,BSL,DUS
47.59,7.53,50.03194444,8.577777778,BSL,FRA
47.59,7.53,48.1325,11.69916667,BSL,MUC
47.59,7.53,52.38,13.5225,BSL,SXF
47.59,7.53,48.11083333,16.55805556,BSL,VIE
47.43694444,19.25555556,50.86583333,7.141944444,BUD,CGN
47.43694444,19.25555556,51.28111111,6.752777778,BUD,DUS
47.43694444,19.25555556,50.03194444,8.577777778,BUD,FRA
47.43694444,19.25555556,53.63388889,9.995,BUD,HAM
47.43694444,19.25555556,48.1325,11.69916667,BUD,MUC
47.43694444,19.25555556,48.68833333,9.21,BUD,STR
47.43694444,19.25555556,52.38,13.5225,BUD,SXF
47.43694444,19.25555556,48.11083333,16.55805556,BUD,VIE
47.43694444,19.25555556,47.45833333,8.551666667,BUD,ZRH
53.09666667,17.97861111,50.03194444,8.577777778,BZG,FRA
49.00972222,2.547777778,51.28111111,6.752777778,CDG,DUS
49.00972222,2.547777778,50.03194444,8.577777778,CDG,FRA
49.00972222,2.547777778,53.63388889,9.995,CDG,HAM
49.00972222,2.547777778,48.1325,11.69916667,CDG,MUC
49.00972222,2.547777778,47.79333333,13.00444444,CDG,SZG
49.00972222,2.547777778,52.56027778,13.29555556,CDG,TXL
49.00972222,2.547777778,48.11083333,16.55805556,CDG,VIE
49.00972222,2.547777778,47.45833333,8.551666667,CDG,ZRH
39.60138889,19.91027778,37.89583333,23.72888889,CFU,ATH
39.60138889,19.91027778,38.11861111,20.49972222,CFU,EFL
39.60138889,19.91027778,37.75111111,20.88277778,CFU,ZTH
50.86583333,7.141944444,41.30277778,2.094444444,CGN,BCN
50.86583333,7.141944444,44.53055556,11.2925,CGN,BLQ
50.86583333,7.141944444,46.91527778,7.499166667,CGN,BRN
50.86583333,7.141944444,47.43694444,19.25555556,CGN,BUD
50.86583333,7.141944444,51.13277778,13.76722222,CGN,DRS
50.86583333,7.141944444,53.4325,-6.252222222,CGN,DUB
50.86583333,7.141944444,41.80027778,12.23888889,CGN,FCO
50.86583333,7.141944444,50.03194444,8.577777778,CGN,FRA
50.86583333,7.141944444,53.63388889,9.995,CGN,HAM
50.86583333,7.141944444,46.64305556,14.34166667,CGN,KLU
50.86583333,7.141944444,51.42388889,12.23638889,CGN,LEJ
50.86583333,7.141944444,50.63722222,5.443888889,CGN,LGG
50.86583333,7.141944444,51.4775,-0.461388889,CGN,LHR
50.86583333,7.141944444,38.78138889,-9.135833333,CGN,LIS
50.86583333,7.141944444,53.35333333,-2.276666667,CGN,MAN
50.86583333,7.141944444,48.1325,11.69916667,CGN,MUC
50.86583333,7.141944444,45.63277778,8.732222222,CGN,MXP
50.86583333,7.141944444,50.10083333,14.26,CGN,PRG
50.86583333,7.141944444,51.88277778,0.233888889,CGN,STN
50.86583333,7.141944444,47.79333333,13.00444444,CGN,SZG
50.86583333,7.141944444,52.56027778,13.29555556,CGN,TXL
50.86583333,7.141944444,45.50666667,12.35,CGN,VCE
50.86583333,7.141944444,48.11083333,16.55805556,CGN,VIE
50.86583333,7.141944444,45.74305556,16.06888889,CGN,ZAG
50.86583333,7.141944444,47.45833333,8.551666667,CGN,ZRH
35.5325,24.14833333,37.89583333,23.72888889,CHQ,ATH
46.785,23.68611111,48.1325,11.69916667,CLJ,MUC
42.52777778,8.791666667,43.43555556,5.216388889,CLY,MRS
42.52777778,8.791666667,43.66388889,7.2175,CLY,NCE
55.61805556,12.65583333,57.09305556,9.85,CPH,AAL
55.61805556,12.65583333,56.30388889,10.62,CPH,AAR
55.61805556,12.65583333,50.90166667,4.494166667,CPH,BRU
55.61805556,12.65583333,51.28111111,6.752777778,CPH,DUS
55.61805556,12.65583333,50.03194444,8.577777778,CPH,FRA
55.61805556,12.65583333,57.66305556,12.28277778,CPH,GOT
55.61805556,12.65583333,52.46166667,9.684722222,CPH,HAJ
55.61805556,12.65583333,53.63388889,9.995,CPH,HAM
55.61805556,12.65583333,55.54833333,13.35944444,CPH,MMX
55.61805556,12.65583333,48.1325,11.69916667,CPH,MUC
55.61805556,12.65583333,48.68833333,9.21,CPH,STR
55.61805556,12.65583333,52.56027778,13.29555556,CPH,TXL
55.61805556,12.65583333,48.11083333,16.55805556,CPH,VIE
55.61805556,12.65583333,47.45833333,8.551666667,CPH,ZRH
37.40277778,14.92305556,35.49611111,12.615,CTA,LMP
37.40277778,14.92305556,35.8575,14.4775,CTA,MLA
51.39666667,-3.343333333,54.61805556,-5.8725,CWL,BHD
51.39666667,-3.343333333,55.95,-3.3725,CWL,EDI
51.39666667,-3.343333333,56.06666667,-6.216666667,CWL,GLA
51.39666667,-3.343333333,49.20805556,-2.195555556,CWL,JER
51.39666667,-3.343333333,51.50527778,0.055277778,CWL,LCY
51.39666667,-3.343333333,51.4775,-0.461388889,CWL,LHR
51.39666667,-3.343333333,55.03777778,-1.686666667,CWL,NCL
42.5625,18.26888889,45.74305556,16.06888889,DBV,ZAG
51.13277778,13.76722222,50.86583333,7.141944444,DRS,CGN
51.13277778,13.76722222,51.28111111,6.752777778,DRS,DUS
51.13277778,13.76722222,50.03194444,8.577777778,DRS,FRA
51.13277778,13.76722222,53.63388889,9.995,DRS,HAM
51.13277778,13.76722222,48.1325,11.69916667,DRS,MUC
51.13277778,13.76722222,48.68833333,9.21,DRS,STR
51.13277778,13.76722222,47.45833333,8.551666667,DRS,ZRH
51.51833333,7.612222222,50.03194444,8.577777778,DTM,FRA
51.51833333,7.612222222,50.63722222,5.443888889,DTM,LGG
51.51833333,7.612222222,48.1325,11.69916667,DTM,MUC
53.4325,-6.252222222,50.86583333,7.141944444,DUB,CGN
53.4325,-6.252222222,51.39666667,-3.343333333,DUB,CWL
53.4325,-6.252222222,50.03194444,8.577777778,DUB,FRA
53.4325,-6.252222222,48.1325,11.69916667,DUB,MUC
53.4325,-6.252222222,47.45833333,8.551666667,DUB,ZRH
51.28111111,6.752777778,59.66194444,17.93388889,DUS,ARN
51.28111111,6.752777778,41.30277778,2.094444444,DUS,BCN
51.28111111,6.752777778,52.45388889,-1.746388889,DUS,BHX
51.28111111,6.752777778,43.30277778,-2.921666667,DUS,BIO
51.28111111,6.752777778,47.59,7.53,DUS,BSL
51.28111111,6.752777778,47.43694444,19.25555556,DUS,BUD
51.28111111,6.752777778,49.00972222,2.547777778,DUS,CDG
51.28111111,6.752777778,55.61805556,12.65583333,DUS,CPH
